 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Brice Samba,fr FRA,GK,29-018,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,60d90c55
Kevin Danso,at AUT,DF,24-236,35,35,3078,34.2,1,2,3,1,0,0,7,1,2.5,2.4,1.0,3.5,29,148,2,0.03,0.06,0.09,0.03,0.09,0.07,0.03,0.10,0.07,0.10,Matches,6e33125f
Seko Fofana,ci CIV,MF,28-006,33,32,2893,32.1,6,4,10,5,1,2,2,0,8.2,6.7,3.4,10.1,111,159,219,0.19,0.12,0.31,0.16,0.28,0.26,0.11,0.36,0.21,0.31,Matches,5313ed43
Florian Sotoca,fr FRA,MFFW,32-200,35,32,2858,31.8,6,8,14,5,1,3,4,0,10.3,7.9,7.9,15.8,44,174,266,0.19,0.25,0.44,0.16,0.41,0.32,0.25,0.57,0.25,0.50,Matches,7a42d0df
Salis Abdul Samed,gh GHA,MF,23-048,30,30,2624,29.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,2.5,29,146,39,0.03,0.03,0.07,0.03,0.07,0.03,0.05,0.08,0.03,0.08,Matches,82464ce3
Facundo Medina,ar ARG,DF,23-350,30,30,2599,28.9,2,3,5,2,0,0,6,0,2.4,2.4,0.9,3.3,75,226,29,0.07,0.10,0.17,0.07,0.17,0.08,0.03,0.11,0.08,0.11,Matches,6f5ec8bb
Jonathan Gradit,fr FRA,DF,30-170,30,30,2553,28.4,1,3,4,1,0,0,6,0,0.8,0.8,1.1,1.9,33,200,8,0.04,0.11,0.14,0.04,0.14,0.03,0.04,0.07,0.03,0.07,Matches,06c48679
Przemys?aw Frankowski,pl POL,DFMF,28-031,35,29,2658,29.5,5,3,8,2,3,3,4,0,4.2,1.8,6.6,8.5,48,128,228,0.17,0.10,0.27,0.07,0.17,0.14,0.23,0.37,0.06,0.29,Matches,00a8d210
Loïs Openda,be BEL,FW,23-086,35,26,2287,25.4,19,3,22,19,0,0,1,0,16.3,16.3,3.3,19.6,57,37,192,0.75,0.12,0.87,0.75,0.87,0.64,0.13,0.77,0.64,0.77,Matches,8652a85c
Deiver Machado,co COL,DFMF,29-253,30,23,1971,21.9,3,3,6,3,0,0,4,1,1.0,1.0,2.6,3.6,56,51,124,0.14,0.14,0.27,0.14,0.27,0.05,0.12,0.16,0.05,0.16,Matches,b3f8bdef
Massadio Haïdara,ml MLI,DFMF,30-162,33,16,1536,17.1,0,1,1,0,0,0,4,0,1.6,1.6,0.9,2.6,22,82,54,0.00,0.06,0.06,0.00,0.06,0.10,0.06,0.15,0.10,0.15,Matches,5167c97e
David Pereira da Costa,pt POR,MFFW,22-128,29,16,1384,15.4,1,3,4,1,0,0,2,0,2.7,2.7,4.0,6.7,61,112,132,0.07,0.20,0.26,0.07,0.26,0.17,0.26,0.43,0.17,0.43,Matches,59948ef7
Adrien Thomasson,fr FRA,MFFW,29-154,17,13,1052,11.7,3,3,6,3,0,0,1,0,2.2,2.2,1.6,3.8,15,42,79,0.26,0.26,0.51,0.26,0.51,0.19,0.14,0.33,0.19,0.33,Matches,c76b7567
Angelo Fulgini,fr FRA,FWMF,26-266,14,10,691,7.7,1,1,2,1,0,0,0,0,1.1,1.1,1.7,2.8,15,31,53,0.13,0.13,0.26,0.13,0.26,0.14,0.23,0.37,0.14,0.37,Matches,4b96c347
Jean Onana,cm CMR,MF,23-125,19,8,694,7.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.5,11,27,18,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,b5bb8188
Wesley Saïd,fr FRA,FWMF,28-024,19,6,609,6.8,5,0,5,5,0,0,2,0,3.1,3.1,0.9,4.0,16,24,57,0.74,0.00,0.74,0.74,0.74,0.46,0.13,0.59,0.46,0.59,Matches,90fcf472
Jimmy Cabot,fr FRA,DFMF,29-025,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,2.4,26,29,65,0.00,0.18,0.18,0.00,0.18,0.05,0.37,0.43,0.05,0.43,Matches,46359159
Alexis Claude-Maurice,fr FRA,MFFW,24-341,17,4,526,5.8,3,2,5,3,0,0,0,0,1.1,1.1,0.8,1.9,10,24,40,0.51,0.34,0.86,0.51,0.86,0.19,0.13,0.32,0.19,0.32,Matches,741418c3
?ukasz Por?ba,pl POL,MF,23-061,10,3,260,2.9,0,1,1,0,0,0,1,0,0.6,0.6,0.7,1.3,3,20,18,0.00,0.35,0.35,0.00,0.35,0.20,0.24,0.44,0.20,0.44,Matches,be98f358
Julien Le Cardinal,fr FRA,DF,25-283,6,2,148,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,4,7,13,0.00,0.00,0.00,0.00,0.00,0.35,0.39,0.74,0.35,0.74,Matches,547a72ad
Rémy Labeau Lascary,gp GLP,FWMF,20-071,10,0,123,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,3,16,0.00,0.00,0.00,0.00,0.00,0.28,0.03,0.32,0.28,0.32,Matches,c90f380c
Ismaëlben Boura,fr FRA,DFFW,22-272,9,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,6,11,0.00,0.00,0.00,0.00,0.00,0.06,0.20,0.26,0.06,0.26,Matches,62e02107
Adam Buksa,pl POL,FWMF,26-305,6,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3b676989
Ignatius Ganago,cm CMR,FW,24-086,4,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,23c63b7f
Patrick Berg,no NOR,MFFW,25-170,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches,e4114f5d
Gaël Kakuta,cd COD,FW,31-326,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,5b1bf5e3
Steven Fortes,cv CPV,DF,31-026,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,574aa9ec
Christopher Wooh,cm CMR,MF,21-237,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b003239d
Ibrahima Baldé,fr FRA,FW,20-116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,a30cb0d4
Yacouba Barry,fr FRA,MF,20-169,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,9e03d22e
Nolan Bonte,fr FRA,FW,19-114,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,27c91f71
Pierre Ganiou,fr FRA,DF,18-060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,7ce98c36
Yaya Kader Fofana,ml MLI,MF,18-335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,cedc53d2
Jean-Louis Leca,fr FRA,GK,37-234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,edbe46dc
Adrien Louveau,fr FRA,MF,23-101,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,85847c67
Yannick Pandor,km COM,GK,22-012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,3df57458
Valentin Rongier,fr FRA,MF,28-157,33,31,2762,30.7,1,2,3,1,0,0,7,0,1.5,1.5,2.5,4.0,52,216,64,0.03,0.07,0.10,0.03,0.10,0.05,0.08,0.13,0.05,0.13,Matches,ed45c4a5
Pau López,es ESP,GK,28-151,29,29,2610,29.0,0,2,2,0,0,0,3,0,0.0,0.0,0.4,0.4,0,2,0,0.00,0.07,0.07,0.00,0.07,0.00,0.01,0.01,0.00,0.01,Matches,20b9f052
Chancel Mbemba,cd COD,DF,28-278,32,29,2561,28.5,4,0,4,4,0,0,2,0,2.9,2.9,0.3,3.3,41,152,41,0.14,0.00,0.14,0.14,0.14,0.10,0.01,0.12,0.10,0.12,Matches,e76cb9cc
Alexis Sánchez,cl CHI,FWMF,34-145,31,28,2363,26.3,13,2,15,11,2,3,3,0,11.4,9.0,5.4,14.4,41,120,210,0.50,0.08,0.57,0.42,0.50,0.43,0.20,0.64,0.34,0.55,Matches,2c0f8e9e
Jonathan Clauss,fr FRA,DF,30-230,30,28,2283,25.4,1,8,9,1,0,0,1,0,4.0,4.0,7.3,11.3,73,110,206,0.04,0.32,0.35,0.04,0.35,0.16,0.29,0.44,0.16,0.44,Matches,5219ab4a
Jordan Veretout,fr FRA,MF,30-073,34,27,2503,27.8,3,2,5,3,0,0,3,0,3.0,3.0,2.9,5.9,49,214,67,0.11,0.07,0.18,0.11,0.18,0.11,0.11,0.21,0.11,0.21,Matches,4a56052c
Leonardo Balerdi,ar ARG,DF,24-107,31,26,2306,25.6,0,1,1,0,0,0,6,1,1.1,1.1,0.2,1.2,14,77,18,0.00,0.04,0.04,0.00,0.04,0.04,0.01,0.05,0.04,0.05,Matches,7c3ed041
Cengiz Ünder,tr TUR,MF,25-303,33,24,2130,23.7,5,4,9,4,1,1,3,0,7.3,6.5,6.8,13.3,62,95,218,0.21,0.17,0.38,0.17,0.34,0.31,0.29,0.60,0.27,0.56,Matches,1880614f
Nuno Tavares,pt POR,DFMF,23-107,28,23,2251,25.0,6,0,6,6,0,0,5,1,4.3,4.3,2.6,6.9,93,108,234,0.24,0.00,0.24,0.24,0.24,0.17,0.11,0.28,0.17,0.28,Matches,a65c844b
Sead Kolašinac,ba BIH,DF,29-327,29,23,1919,21.3,4,1,5,4,0,0,3,0,4.1,4.1,0.9,5.1,46,96,71,0.19,0.05,0.23,0.19,0.23,0.19,0.04,0.24,0.19,0.24,Matches,3935e52e
Samuel Gigot,fr FRA,DF,29-213,25,23,1861,20.7,2,2,4,2,0,0,5,2,2.6,2.6,0.4,3.0,33,72,19,0.10,0.10,0.19,0.10,0.19,0.12,0.02,0.15,0.12,0.15,Matches,41eebdf5
Mattéo Guendouzi,fr FRA,MF,24-029,30,22,1889,21.0,2,4,6,1,1,1,3,0,3.2,2.4,1.8,4.2,44,140,93,0.10,0.19,0.29,0.05,0.24,0.15,0.08,0.24,0.12,0.20,Matches,5ea8ef20
Ruslan Malinovskyi,ua UKR,MFFW,30-009,16,10,935,10.4,1,0,1,1,0,0,4,0,1.7,1.7,2.2,3.9,29,48,61,0.10,0.00,0.10,0.10,0.10,0.17,0.21,0.38,0.17,0.38,Matches,48d5bd33
Issa Kaboré,bf BFA,DF,22-001,19,8,868,9.6,1,0,1,1,0,0,1,0,0.8,0.8,0.8,1.6,30,50,102,0.10,0.00,0.10,0.10,0.10,0.08,0.09,0.17,0.08,0.17,Matches,c066d1a5
Dimitri Payet,fr FRA,MFFW,36-045,23,8,771,8.6,3,3,6,2,1,1,0,0,2.6,1.8,3.5,5.3,21,66,76,0.35,0.35,0.70,0.23,0.58,0.30,0.41,0.71,0.21,0.61,Matches,58ae47b2
Amine Harit,ma MAR,MFFW,25-329,10,6,515,5.7,0,0,0,0,0,0,1,0,0.5,0.5,1.5,2.0,19,38,54,0.00,0.00,0.00,0.00,0.00,0.09,0.25,0.34,0.09,0.34,Matches,e7d59f4f
Gerson,br BRA,MF,25-358,10,6,417,4.6,2,0,2,2,0,0,1,0,0.8,0.8,0.3,1.1,9,21,29,0.43,0.00,0.43,0.43,0.43,0.18,0.06,0.24,0.18,0.24,Matches,8827bf46
Rubén Blanco,es ESP,GK,27-292,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,967f34d3
Pape Gueye,sn SEN,MFDF,24-109,14,4,492,5.5,1,1,2,1,0,0,1,0,0.7,0.7,0.9,1.6,9,31,13,0.18,0.18,0.37,0.18,0.37,0.13,0.16,0.29,0.13,0.29,Matches,7155e3e1
Eric Bailly,ci CIV,DF,29-031,14,4,451,5.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,a1232f4e
Vitinha,pt POR,FW,23-059,10,4,347,3.9,2,0,2,2,0,0,0,0,3.3,3.3,0.2,3.5,2,9,31,0.52,0.00,0.52,0.52,0.52,0.86,0.04,0.91,0.86,0.91,Matches,74d4cec6
Luis Javier Suárez,co COL,FW,25-162,7,2,293,3.3,3,1,4,3,0,0,1,0,2.4,2.4,0.4,2.8,5,11,17,0.92,0.31,1.23,0.92,1.23,0.74,0.11,0.85,0.74,0.85,Matches,eeba07f8
Arkadiusz Milik,pl POL,FW,29-074,2,2,129,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,1,1,9,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.27,0.10,0.27,Matches,85613cf0
Bamba Dieng,sn SEN,FWMF,23-051,10,1,194,2.2,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,5,1,23,0.46,0.00,0.46,0.46,0.46,0.71,0.04,0.76,0.71,0.76,Matches,40774c6b
Azzedine Ounahi,ma MAR,MFFW,23-024,7,1,121,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,6,5,8,0.74,0.00,0.74,0.74,0.74,0.50,0.16,0.65,0.50,0.65,Matches,83299cc0
Souleymane Touré,fr FRA,DF,20-046,5,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,01fd01e8
Cédric Bakambu,cd COD,MF,32-032,3,0,59,0.7,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1,0,4,0.00,1.53,1.53,0.00,1.53,0.00,1.56,1.56,0.00,1.56,Matches,0af4dcf0
Duje ?aleta-Car,hr CRO,DF,26-238,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,94f8d10c
Salim Ben Seghir,fr FRA,MF,20-078,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1f6298f2
Bartu? Elmaz,tr TUR,MF,20-083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,64748421
Pol Lirola,es ESP,DFMF,25-273,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,ff800ed8
François Mughe,cm CMR,FW,18-331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,7af655fe
Simon Ngapandouetnbu,cm CMR,GK,20-031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,18563ea7
Yakine Said Mmadi,km COM,DF,19-063,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,0018166b
Alexander Nübel,de GER,GK,26-225,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,afb0c500
Axel Disasi,fr FRA,DF,25-063,34,33,2970,33.0,3,3,6,3,0,1,3,0,3.4,2.6,1.2,3.8,60,182,16,0.09,0.09,0.18,0.09,0.18,0.10,0.04,0.14,0.08,0.11,Matches,ad82197c
Youssouf Fofana,fr FRA,MF,24-123,32,31,2726,30.3,2,2,4,2,0,0,4,2,2.4,2.4,3.9,6.3,73,211,67,0.07,0.07,0.13,0.07,0.13,0.08,0.13,0.21,0.08,0.21,Matches,822d51d7
Caio Henrique Oliveira Silva,br BRA,DF,25-286,31,29,2615,29.1,1,9,10,1,0,0,3,0,0.7,0.7,4.8,5.6,49,181,129,0.03,0.31,0.34,0.03,0.34,0.02,0.17,0.19,0.02,0.19,Matches,30af8b93
Aleksandr Golovin,ru RUS,MFFW,26-348,31,26,2251,25.0,8,7,15,8,0,0,4,0,5.2,5.2,5.6,10.8,83,113,195,0.32,0.28,0.60,0.32,0.60,0.21,0.22,0.43,0.21,0.43,Matches,3708e9fa
Wissam Ben Yedder,fr FRA,FW,32-274,29,25,1892,21.0,17,6,23,13,4,5,4,0,15.0,11.0,3.5,14.5,44,68,180,0.81,0.29,1.09,0.62,0.90,0.71,0.17,0.88,0.53,0.69,Matches,942b4f90
Mohamed Camara,ml MLI,MF,23-127,26,23,2015,22.4,0,3,3,0,0,0,6,1,0.9,0.9,1.9,2.8,26,116,17,0.00,0.13,0.13,0.00,0.13,0.04,0.09,0.13,0.04,0.13,Matches,489e80e3
Guillermo Maripán,cl CHI,DF,29-007,24,23,1977,22.0,3,0,3,3,0,0,5,1,1.6,1.6,0.1,1.7,5,59,0,0.14,0.00,0.14,0.14,0.14,0.07,0.01,0.08,0.07,0.08,Matches,d9764034
Krépin Diatta,sn SEN,MFFW,24-077,29,22,2033,22.6,4,2,6,4,0,0,3,0,4.6,4.6,3.1,7.7,80,87,223,0.18,0.09,0.27,0.18,0.27,0.20,0.14,0.34,0.20,0.34,Matches,8104e41e
Vanderson,br BRA,DFMF,21-326,27,20,1868,20.8,1,4,5,1,0,0,2,1,2.2,2.2,3.0,5.1,41,98,143,0.05,0.19,0.24,0.05,0.24,0.10,0.14,0.25,0.10,0.25,Matches,ee45fd85
Breel Embolo,ch SUI,FW,26-088,28,19,1757,19.5,12,2,14,12,0,1,2,0,8.1,7.2,3.2,10.4,19,47,143,0.61,0.10,0.72,0.61,0.72,0.42,0.17,0.58,0.37,0.53,Matches,0b4f388a
Ruben Aguilar,fr FRA,DF,30-017,18,12,1003,11.1,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,21,86,64,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches,3dd738a1
Eliot Matazo,be BEL,MF,21-087,20,11,994,11.0,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,4,53,9,0.09,0.00,0.09,0.09,0.09,0.02,0.01,0.03,0.02,0.03,Matches,15944afd
Eliesse Ben Seghir,fr FRA,FWMF,18-086,15,11,879,9.8,4,1,5,4,0,0,1,0,1.8,1.8,1.2,3.0,28,51,79,0.41,0.10,0.51,0.41,0.51,0.19,0.12,0.31,0.19,0.31,Matches,3bd65247
Benoît Badiashile,fr FRA,DF,22-048,11,9,839,9.3,2,0,2,2,0,0,3,0,0.6,0.6,0.4,1.0,3,39,0,0.21,0.00,0.21,0.21,0.21,0.07,0.04,0.11,0.07,0.11,Matches,06df8256
Malang Sarr,fr FRA,DF,24-110,13,8,716,8.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,5,59,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,4315f30d
Takumi Minamino,jp JPN,MFFW,28-117,16,8,599,6.7,1,3,4,1,0,0,2,0,1.7,1.7,1.2,2.9,23,23,56,0.15,0.45,0.60,0.15,0.60,0.26,0.18,0.44,0.26,0.44,Matches,f833a830
Kevin Volland,de GER,FWMF,30-287,15,7,609,6.8,3,2,5,3,0,0,1,0,1.7,1.7,1.6,3.3,6,31,59,0.44,0.30,0.74,0.44,0.74,0.26,0.24,0.49,0.26,0.49,Matches,64f69877
Ismail Jakobs,sn SEN,DFMF,23-269,29,6,849,9.4,0,2,2,0,0,0,2,0,0.8,0.8,1.4,2.2,34,38,90,0.00,0.21,0.21,0.00,0.21,0.08,0.15,0.23,0.08,0.23,Matches,a0415710
Maghnes Akliouche,fr FRA,MFFW,21-077,8,4,308,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,6,13,26,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.14,0.05,0.14,Matches,b625b241
Gelson Martins,pt POR,MFFW,28-002,11,3,345,3.8,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.1,15,14,47,0.00,0.00,0.00,0.00,0.00,0.20,0.08,0.28,0.20,0.28,Matches,3ef0fa48
Jean Lucas,br BRA,MF,24-325,6,3,291,3.2,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,5,20,6,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.23,0.19,0.23,Matches,a99138af
Chrislain Matsima,fr FRA,DF,20-363,6,3,266,3.0,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,2,19,9,0.00,0.34,0.34,0.00,0.34,0.18,0.12,0.30,0.18,0.30,Matches,cf1ef7ec
Myron Boadu,nl NED,FW,22-119,11,2,237,2.6,3,0,3,3,0,0,0,0,2.3,2.3,0.3,2.6,3,2,17,1.14,0.00,1.14,1.14,1.14,0.87,0.11,0.98,0.87,0.98,Matches,5b479568
Edan Diop,fr FRA,DFMF,18-258,6,1,185,2.1,1,0,1,1,0,0,0,0,1.1,1.1,0.5,1.7,6,15,26,0.49,0.00,0.49,0.49,0.49,0.54,0.26,0.81,0.54,0.81,Matches,37143438
Sofiane Diop,fr FRA,MF,22-338,1,1,65,0.7,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,2,10,1.38,0.00,1.38,1.38,1.38,1.40,0.11,1.51,1.40,1.51,Matches,19053e31
Soungoutou Magassa,ml MLI,MF,19-217,2,0,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dfc5d4fa
Thomas Didillon,fr FRA,GK,27-166,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,a3d524cb
Félix Lemaréchal,ci CIV,MF,19-279,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,8ca9415f
Yllan Okou,fr FRA,DF,20-141,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,fa753b79
Jonathan David,ca CAN,FW,23-119,33,32,2823,31.4,21,4,25,14,7,8,5,0,20.9,14.8,5.2,20.0,59,79,261,0.67,0.13,0.80,0.45,0.57,0.67,0.17,0.83,0.47,0.64,Matches,ce50fd99
Angel Gomes,eng ENG,MF,22-255,33,32,2637,29.3,2,6,8,1,1,1,6,0,4.2,3.5,3.0,6.4,34,160,106,0.07,0.20,0.27,0.03,0.24,0.14,0.10,0.25,0.12,0.22,Matches,645a3363
Benjamin André,fr FRA,MF,32-283,30,29,2556,28.4,1,1,2,1,0,0,10,0,1.4,1.4,1.8,3.3,32,264,40,0.04,0.04,0.07,0.04,0.07,0.05,0.06,0.12,0.05,0.12,Matches,ef9c1c95
Lucas Chevalier,fr FRA,GK,21-188,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,b3d76d84
Jonathan Bamba,fr FRA,FW,27-048,30,28,2423,26.9,5,6,11,5,0,0,5,0,6.9,6.9,6.1,13.0,99,131,295,0.19,0.22,0.41,0.19,0.41,0.25,0.23,0.48,0.25,0.48,Matches,b2bd0f6c
José Fonte,pt POR,DF,39-142,28,27,2322,25.8,1,0,1,1,0,0,7,0,1.4,1.4,0.4,1.7,6,83,8,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.07,0.05,0.07,Matches,90f87966
Bafodé Diakité,fr FRA,DF,22-127,29,25,2293,25.5,2,0,2,2,0,0,5,0,1.3,1.3,0.6,1.9,38,154,64,0.08,0.00,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches,1bfb6fef
Rémy Cabella,fr FRA,MFFW,33-066,28,25,2233,24.8,7,9,16,7,0,0,3,0,8.1,8.1,9.6,17.7,95,207,212,0.28,0.36,0.64,0.28,0.64,0.33,0.39,0.71,0.33,0.71,Matches,148e136f
Tiago Djaló,pt POR,DF,23-034,25,24,2017,22.4,2,0,2,2,0,0,7,0,1.3,1.3,0.1,1.4,9,70,4,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.06,0.06,0.06,Matches,b2336681
Ismaily,br BRA,DF,33-122,21,19,1664,18.5,2,1,3,2,0,0,0,0,1.2,1.2,2.3,3.5,39,91,115,0.11,0.05,0.16,0.11,0.16,0.06,0.13,0.19,0.06,0.19,Matches,cf182add
André Gomes,pt POR,MF,29-287,24,17,1549,17.2,3,2,5,3,0,0,6,0,1.1,1.1,1.2,2.3,24,153,32,0.17,0.12,0.29,0.17,0.29,0.07,0.07,0.14,0.07,0.14,Matches,1961b2aa
Timothy Weah,us USA,DFFW,23-080,25,15,1476,16.4,0,2,2,0,0,0,2,0,2.2,2.2,1.6,3.8,63,71,144,0.00,0.12,0.12,0.00,0.12,0.13,0.10,0.23,0.13,0.23,Matches,8eec784d
Alexsandro Ribeiro,br BRA,DF,23-277,18,13,1342,14.9,3,0,3,3,0,0,4,0,1.8,1.8,0.1,1.9,8,70,4,0.20,0.00,0.20,0.20,0.20,0.12,0.01,0.13,0.12,0.13,Matches,102c9665
Edon Zhegrova,xk KVX,FWDF,24-043,21,11,1038,11.5,3,4,7,3,0,0,1,0,3.5,3.5,4.3,7.8,70,50,190,0.26,0.35,0.61,0.26,0.61,0.30,0.37,0.68,0.30,0.68,Matches,34a88e3e
Adam Ounas,dz ALG,FW,26-183,17,11,911,10.1,1,1,2,1,0,0,1,0,2.0,2.0,2.5,4.6,51,57,104,0.10,0.10,0.20,0.10,0.20,0.20,0.25,0.45,0.20,0.45,Matches,ed90babd
Gabriel Gudmundsson,se SWE,DFFW,24-014,15,8,711,7.9,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,40,28,54,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.06,0.16,Matches,d5d22a58
Leny Yoro,fr FRA,DF,17-181,11,7,678,7.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches,6763f716
Leonardo César Jardim,br BRA,GK,28-054,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,f5dfc256
Mohamed Lamine Bayo,gn GUI,FWMF,24-343,24,5,595,6.6,4,1,5,4,0,0,0,0,3.2,3.2,1.6,4.9,8,5,43,0.61,0.15,0.76,0.61,0.76,0.49,0.25,0.74,0.49,0.74,Matches,01870104
Akim Zedadka,dz ALG,DFMF,27-348,8,4,354,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.5,0.9,6,15,18,0.25,0.00,0.25,0.25,0.25,0.10,0.13,0.22,0.10,0.22,Matches,0ff630d0
